"Kod";"Nazwa";"Kierunki migracji";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2023";5212;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2024";5659;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2005";15085;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2006";15445;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2007";14834;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2008";11445;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2009";12288;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2010";13377;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2011";14354;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2012";13287;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2013";13353;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2014";13108;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2016";12950;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2017";13513;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2018";16702;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2019";18084;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2020";12197;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2021";12988;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2022";11274;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2023";12841;"osoba";"";
1400000;"MAZOWIECKIE";"saldo migracji ogółem";"ogółem";"2024";13791;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2005";-3185;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2006";-4798;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2007";-4062;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2008";-3335;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2009";-1723;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2010";-1793;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2011";-2258;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2012";-2173;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2013";-3331;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2014";-2260;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2016";-1370;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2017";-1224;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2018";-1275;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2019";-1452;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2020";-1119;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2021";-1389;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2022";-1216;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2023";-1297;"osoba";"";
1600000;"OPOLSKIE";"saldo migracji ogółem";"ogółem";"2024";-1118;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2005";-2385;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2006";-3990;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2007";-3153;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2008";-2311;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2009";-1875;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2010";-1929;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2011";-2177;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2012";-1947;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2013";-3102;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2014";-2249;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2016";-1639;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2017";-1777;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2018";-2741;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2019";-2950;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2020";-1956;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2021";-1934;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2022";-2089;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2023";-2332;"osoba";"";
1800000;"PODKARPACKIE";"saldo migracji ogółem";"ogółem";"2024";-2534;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2005";-1941;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2006";-2838;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2007";-2528;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2008";-1698;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2009";-1721;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2010";-1516;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2011";-1974;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2012";-1808;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2013";-2511;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2014";-2249;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2016";-1287;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2017";-1701;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2018";-2014;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2019";-2032;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2020";-1318;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2021";-1214;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2022";-1143;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2023";-1370;"osoba";"";
2000000;"PODLASKIE";"saldo migracji ogółem";"ogółem";"2024";-1274;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2005";1073;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2006";-934;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2007";1243;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2008";1316;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2009";2782;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2010";2649;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2011";2279;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2012";1951;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2013";1863;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2014";1972;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2016";3532;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2017";3586;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2018";5071;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2019";6336;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2020";4078;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2021";4760;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2022";3923;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2023";4809;"osoba";"";
2200000;"POMORSKIE";"saldo migracji ogółem";"ogółem";"2024";5454;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2005";-8698;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2006";-12189;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2007";-9890;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2008";-7157;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2009";-4797;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2010";-4938;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2011";-5672;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2012";-5902;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2013";-9318;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2014";-7164;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2016";-4556;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2017";-4246;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2018";-5028;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2019";-4717;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2020";-3531;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2021";-4483;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2022";-4244;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2023";-2709;"osoba";"";
2400000;"ŚLĄSKIE";"saldo migracji ogółem";"ogółem";"2024";-2934;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2005";-2249;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2006";-3483;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2007";-2916;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2008";-2333;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2009";-2119;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2010";-2545;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2011";-2305;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2012";-2128;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2013";-2809;"osoba";"";
