Rok;Okres;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy
2017;2;4 040;3 792;6 030;5 754;3 551;3 612;6 038;4 630;3 588;4 260;4 212;5 465;4 763;4 138;7 821;5 445;3 393;6 178;4 047;5 263
2017;3;3 998;3 987;6 065;5 799;3 805;3 653;6 347;4 765;3 762;4 199;4 221;5 433;4 744;4 265;8 020;5 764;3 336;6 374;4 141;5 456
2017;4;4 199;4 004;6 337;5 920;3 698;3 655;6 276;4 879;3 784;4 312;4 285;5 550;4 677;4 316;8 054;5 906;3 358;6 445;4 187;5 548
2018;1;4 254;4 102;6 485;6 098;3 981;3 705;6 357;4 782;4 022;4 243;4 371;5 620;4 945;4 375;8 047;5 841;3 495;6 478;4 267;5 604
2018;2;4 495;4 181;6 625;6 428;4 018;3 854;6 504;4 939;3 959;4 510;4 609;5 777;4 989;4 555;8 394;6 077;3 554;6 681;4 410;5 726
2018;3;4 682;4 430;7 149;6 562;4 204;3 883;6 787;5 001;4 256;4 554;4 818;5 932;5 044;4 781;8 604;6 159;3 515;6 941;4 554;6 009
2018;4;4 712;4 560;7 508;6 743;4 200;3 882;6 892;5 095;4 465;4 804;4 875;6 114;5 106;4 815;8 762;6 191;3 822;7 154;4 630;6 244
2019;1;4 896;4 601;7 351;6 810;4 438;3 968;6 912;5 176;4 616;4 823;4 808;6 151;5 546;5 074;8 985;6 267;3 950;7 231;4 784;6 235
2019;2;5 069;4 914;7 823;7 081;4 521;4 067;7 286;5 371;4 596;5 049;4 978;6 339;5 697;5 186;9 243;6 482;4 203;7 448;4 947;6 443
2019;3;5 315;5 050;7 767;7 297;4 749;4 345;7 404;5 565;4 708;5 171;4 993;6 448;5 708;5 359;9 457;6 858;4 354;7 619;5 128;6 587
2019;4;5 316;5 095;8 364;7 384;4 895;4 453;7 657;5 747;4 870;5 383;5 043;6 664;5 731;5 525;9 813;7 316;4 547;7 931;5 235;6 878
2020;1;5 518;5 297;8 387;7 671;5 106;4 578;8 170;5 884;5 011;5 449;5 189;6 835;6 313;5 700;10 003;7 315;4 650;8 135;5 428;7 091
2020;2;5 732;5 456;8 504;7 727;5 327;4 774;8 476;6 465;5 245;5 630;5 474;7 017;6 611;5 875;10 288;7 496;4 758;8 371;5 690;7 302
2020;3;5 716;5 611;8 935;7 993;5 278;4 770;8 634;6 331;5 613;5 666;5 429;7 144;6 516;6 132;10 470;7 301;4 430;8 569;5 676;7 509
2020;4;5 866;5 698;9 053;7 942;5 376;4 867;8 849;6 359;5 522;5 794;5 520;7 222;6 713;6 172;10 671;7 973;4 767;8 743;5 781;7 669
2021;1;5 892;5 689;9 315;8 017;5 370;4 973;8 945;6 767;5 433;5 805;5 567;7 292;6 627;6 341;10 879;8 057;4 764;8 886;5 878;7 764
2021;2;6 216;5 792;9 379;8 549;5 481;5 301;9 378;6 950;5 800;5 990;5 605;7 428;6 957;6 596;11 218;8 510;5 174;9 194;6 109;8 058
2021;3;6 320;5 861;9 771;8 745;5 728;5 377;9 696;7 176;6 075;6 208;5 774;7 678;7 033;6 776;11 585;8 563;5 375;9 490;6 282;8 318
2021;4;6 552;6 102;10 275;8 998;5 842;5 716;9 999;7 362;6 158;6 372;6 083;7 864;7 495;7 111;11 845;8 953;5 568;9 758;6 525;8 595
2022;1;6 916;6 297;10 336;9 269;6 145;5 992;10 329;7 884;6 214;6 838;6 201;8 149;7 792;7 494;12 251;9 202;5 719;10 038;6 859;8 801
2022;2;7 531;6 440;10 771;9 801;6 288;6 188;10 746;7 887;6 652;7 016;6 463;8 587;8 216;7 695;12 714;9 686;6 240;10 488;7 107;9 245
2022;3;7 686;6 565;11 429;10 184;6 174;6 391;11 057;7 707;6 887;7 205;6 836;8 802;8 239;7 512;12 917;10 178;6 394;10 770;7 147;9 574
2022;4;7 407;6 445;11 278;9 737;6 232;6 324;11 087;8 009;6 384;7 060;6 957;8 732;8 041;7 746;13 027;10 114;6 512;10 698;7 132;9 399
2023;1;7 599;6 389;10 970;9 414;6 319;6 384;11 016;7 765;6 579;6 859;6 852;8 690;8 133;7 580;13 068;9 980;6 496;10 673;7 076;9 355
2023;2;7 749;6 575;11 053;10 013;6 482;6 475;11 188;8 215;6 366;7 233;7 028;8 913;8 620;7 717;13 205;10 234;6 538;10 798;7 297;9 453
2023;3;8 038;6 532;11 629;10 051;6 726;6 562;11 988;8 461;6 768;7 292;7 291;9 299;8 843;8 196;13 763;10 709;6 688;11 287;7 507;9 971
2023;4;8 163;6 895;11 560;10 255;7 144;6 992;12 560;8 607;6 987;7 456;7 409;9 724;9 381;7 963;14 177;11 112;7 067;11 648;7 777;10 302
2024;1;8 364;7 182;12 015;10 525;7 539;7 287;13 654;9 023;7 496;7 726;7 934;10 227;9 457;8 663;15 230;11 594;7 104;12 404;8 129;10 934
2024;2;8 794;7 295;12 632;11 364;7 507;7 979;14 699;9 621;7 602;8 193;8 585;10 696;10 110;8 621;16 327;12 420;7 491;13 175;8 482;11 579
2024;3;9 093;7 360;12 867;11 642;7 808;7 932;15 071;9 814;8 018;8 473;8 646;10 904;10 590;9 153;16 869;12 792;8 135;13 505;8 762;11 828
2024;4;9 162;7 158;13 152;11 971;7 991;8 045;15 235;9 773;7 592;8 439;8 736;10 927;10 597;8 846;16 949;12 950;8 111;13 533;8 711;11 870
2025;1;9 418;7 425;13 114;11 808;8 060;8 100;15 112;9 960;7 961;8 478;8 803;10 858;10 659;8 829;16 657;12 675;7 903;13 550;8 786;11 879
2025;2;9 295;7 610;13 398;11 817;8 158;8 014;14 955;10 020;8 009;8 487;8 657;10 748;10 720;9 297;16 530;12 625;8 068;13 482;8 850;11 853
2025;3;9 475;7 567;13 205;11 820;8 165;8 247;14 706;10 111;8 112;8 755;8 983;10 643;10 783;9 255;16 405;12 553;8 645;13 382;8 978;11 743
