"Kod";"Nazwa";"Okresy";"Wskaźnik cen";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2025";;"-";"n";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2005";100,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2006";100,0;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2007";100,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2008";101,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2009";101,6;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2010";101,1;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2011";102,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2012";101,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2013";100,2;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2014";100,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2015";99,6;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2016";99,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2017";101,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2018";100,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2019";100,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2020";101,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2021";102,0;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2022";103,7;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2023";104,3;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2024";101,1;"-";"";
0200000;"DOLNOŚLĄSKIE";"1 kwartał";"ogółem - okres poprzedni = 100";"2025";101,4;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2005";100,8;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2006";101,0;"-";"";
0200000;"DOLNOŚLĄSKIE";"2 kwartał";"ogółem - okres poprzedni = 100";"2007";101,3;"-";"";
